battle_id,winner_username,outcome_label,turns,player1_team_species,player2_team_species
battle-gen9randombattle-288,RuleBasedPlayer 1,RuleBasedPlayer,30,"['mesprit', 'regirock', 'minun', 'masquerain', 'zekrom', 'illumise']","['regigigas', 'mightyena', 'hoopa', 'conkeldurr', 'houndstone', 'tatsugiridroopy']"
battle-gen9randombattle-289,RuleBasedPlayer 1,RuleBasedPlayer,29,"['irontreads', 'entei', 'barraskewda', 'porygonz', 'floatzel', 'flygon']","['arcanine', 'ariados', 'misdreavus', 'hoopa', 'rhydon', 'porygonz']"
battle-gen9randombattle-290,RuleBasedPlayer 1,RuleBasedPlayer,41,"['whimsicott', 'vigoroth', 'girafarig', 'rotomwash', 'archaludon', 'hariyama']","['meowscarada', 'skeledirge', 'slitherwing', 'dodrio', 'lapras', 'ludicolo']"
battle-gen9randombattle-291,RuleBasedPlayer 1,RuleBasedPlayer,17,"['passimian', 'crawdaunt', 'taurospaldeacombat', 'gardevoir', 'gengar', 'phione']","['latias', 'malamar', 'donphan', 'clodsire', 'magmortar', 'basculegionf']"
battle-gen9randombattle-292,RuleBasedPlayer 1,RuleBasedPlayer,28,"['sandslash', 'squawkabillywhite', 'mesprit', 'pelipper', 'heracross', 'haxorus']","['oranguru', 'lunala', 'leafeon', 'gurdurr', 'rayquaza', 'arboliva']"
battle-gen9randombattle-293,RandomPlayer 1,RandomPlayer,44,"['jumpluff', 'gardevoir', 'clodsire', 'polteageist', 'lapras', 'glastrier']","['hatterene', 'sandslashalola', 'baxcalibur', 'hitmontop', 'palkia', 'maushold']"
battle-gen9randombattle-294,RuleBasedPlayer 1,RuleBasedPlayer,17,"['hatterene', 'glastrier', 'flapple', 'leavanny', 'lumineon', 'archaludon']","['koraidon', 'flareon', 'grafaiai', 'slaking', 'rabsca', 'salamence']"
battle-gen9randombattle-295,RuleBasedPlayer 1,RuleBasedPlayer,46,"['cinderace', 'indeedeef', 'passimian', 'phione', 'mew', 'terapagosterastal']","['arceusice', 'meloetta', 'latias', 'sceptile', 'rhyperior', 'magearna']"
battle-gen9randombattle-296,RuleBasedPlayer 1,RuleBasedPlayer,26,"['arceusbug', 'gholdengo', 'fezandipiti', 'spidops', 'miraidon', 'cloyster']","['illumise', 'lugia', 'irontreads', 'basculinbluestriped', 'cinderace', 'rillaboom']"
battle-gen9randombattle-297,RandomPlayer 1,RandomPlayer,42,"['blissey', 'ariados', 'breloom', 'archaludon', 'crawdaunt', 'spidops']","['bastiodon', 'lurantis', 'indeedeef', 'regice', 'weezing', 'abomasnow']"
battle-gen9randombattle-298,RuleBasedPlayer 1,RuleBasedPlayer,26,"['salazzle', 'darkrai', 'garganacl', 'groudon', 'volbeat', 'dachsbun']","['terrakion', 'giratinaorigin', 'leafeon', 'bellibolt', 'thundurustherian', 'slitherwing']"
battle-gen9randombattle-299,RuleBasedPlayer 1,RuleBasedPlayer,35,"['sandyshocks', 'trevenant', 'jirachi', 'serperior', 'indeedee', 'persianalola']","['drifblim', 'registeel', 'magnezone', 'zamazenta', 'articunogalar', 'mausholdfour']"
battle-gen9randombattle-300,RuleBasedPlayer 1,RuleBasedPlayer,36,"['glimmora', 'cresselia', 'necrozma', 'mienshao', 'chienpao', 'alcremierubycream']","['diancie', 'munkidori', 'feraligatr', 'grumpig', 'heracross', 'gogoat']"
battle-gen9randombattle-301,RuleBasedPlayer 1,RuleBasedPlayer,27,"['jumpluff', 'copperajah', 'bellibolt', 'toxicroak', 'misdreavus', 'kyurem']","['weezing', 'mesprit', 'glalie', 'bombirdier', 'glimmora', 'enamorustherian']"
battle-gen9randombattle-302,RuleBasedPlayer 1,RuleBasedPlayer,31,"['pincurchin', 'hariyama', 'komala', 'lilligant', 'umbreon', 'fluttermane']","['toedscruel', 'banette', 'rhydon', 'eelektross', 'zamazenta', 'brambleghast']"
battle-gen9randombattle-303,RuleBasedPlayer 1,RuleBasedPlayer,34,"['duraludon', 'rabsca', 'cresselia', 'forretress', 'dondozo', 'samurotthisui']","['volcanion', 'ariados', 'gholdengo', 'grimmsnarl', 'sawsbuckwinter', 'scovillain']"
battle-gen9randombattle-304,RuleBasedPlayer 1,RuleBasedPlayer,23,"['keldeoresolute', 'tropius', 'arceusfire', 'zekrom', 'eelektross', 'shaymin']","['slowkinggalar', 'primarina', 'yanmega', 'beartic', 'klefki', 'miniorindigo']"
battle-gen9randombattle-305,RuleBasedPlayer 1,RuleBasedPlayer,20,"['mismagius', 'arboliva', 'pelipper', 'persian', 'torterra', 'kingambit']","['beartic', 'serperior', 'noivern', 'misdreavus', 'politoed', 'lilliganthisui']"
battle-gen9randombattle-306,RuleBasedPlayer 1,RuleBasedPlayer,23,"['malamar', 'meloetta', 'cobalion', 'swanna', 'brambleghast', 'cloyster']","['azumarill', 'lapras', 'mismagius', 'espeon', 'dragonite', 'trevenant']"
battle-gen9randombattle-307,RuleBasedPlayer 1,RuleBasedPlayer,84,"['meganium', 'oricorio', 'terapagosterastal', 'snorlax', 'froslass', 'rotommow']","['pachirisu', 'malamar', 'barraskewda', 'indeedee', 'honchkrow', 'zebstrika']"
battle-gen9randombattle-308,RuleBasedPlayer 1,RuleBasedPlayer,40,"['cresselia', 'regieleki', 'diancie', 'mausholdfour', 'oranguru', 'torterra']","['entei', 'florgesyellow', 'oricoriosensu', 'gardevoir', 'gholdengo', 'raikou']"
battle-gen9randombattle-309,RuleBasedPlayer 1,RuleBasedPlayer,26,"['tentacruel', 'golduck', 'gallade', 'talonflame', 'eiscue', 'eelektross']","['azumarill', 'bellibolt', 'pelipper', 'altaria', 'pyroar', 'golurk']"
battle-gen9randombattle-310,RuleBasedPlayer 1,RuleBasedPlayer,36,"['rotommow', 'klawf', 'alomomola', 'landorustherian', 'swampert', 'gardevoir']","['ninetales', 'meowstic', 'vespiquen', 'zamazentacrowned', 'ironthorns', 'wyrdeer']"
battle-gen9randombattle-311,RuleBasedPlayer 1,RuleBasedPlayer,25,"['minun', 'dialga', 'breloom', 'cryogonal', 'garchomp', 'magnezone']","['noivern', 'darkrai', 'rhyperior', 'reuniclus', 'gengar', 'morpeko']"
battle-gen9randombattle-312,RuleBasedPlayer 1,RuleBasedPlayer,37,"['mabosstiff', 'mamoswine', 'ogerponwellspring', 'farigiraf', 'altaria', 'bombirdier']","['rillaboom', 'scyther', 'mew', 'clawitzer', 'wigglytuff', 'shiftry']"
battle-gen9randombattle-313,RuleBasedPlayer 1,RuleBasedPlayer,36,"['altaria', 'magcargo', 'seviper', 'quagsire', 'zoroarkhisui', 'mandibuzz']","['gliscor', 'zamazenta', 'leavanny', 'glimmora', 'dachsbun', 'milotic']"
battle-gen9randombattle-314,RuleBasedPlayer 1,RuleBasedPlayer,49,"['latios', 'overqwil', 'illumise', 'gholdengo', 'typhlosionhisui', 'tropius']","['drednaw', 'flamigo', 'kingdra', 'dugtrio', 'talonflame', 'weezing']"
battle-gen9randombattle-315,RuleBasedPlayer 1,RuleBasedPlayer,95,"['oinkolognef', 'cetitan', 'oricoriosensu', 'duraludon', 'mimikyu', 'conkeldurr']","['talonflame', 'gholdengo', 'ditto', 'reuniclus', 'toxapex', 'venusaur']"
battle-gen9randombattle-316,RuleBasedPlayer 1,RuleBasedPlayer,21,"['greedent', 'zekrom', 'brambleghast', 'espeon', 'bruxish', 'ironmoth']","['registeel', 'drednaw', 'screamtail', 'skuntank', 'heracross', 'cloyster']"
battle-gen9randombattle-317,RandomPlayer 1,RandomPlayer,87,"['polteageist', 'lunala', 'raikou', 'suicune', 'chimecho', 'ragingbolt']","['cinccino', 'virizion', 'raichualola', 'honchkrow', 'ragingbolt', 'cresselia']"
battle-gen9randombattle-318,RuleBasedPlayer 1,RuleBasedPlayer,39,"['vaporeon', 'giratina', 'deoxys', 'zebstrika', 'thundurustherian', 'arceuspsychic']","['floatzel', 'hoopaunbound', 'tyranitar', 'forretress', 'vikavolt', 'palkiaorigin']"
battle-gen9randombattle-319,RuleBasedPlayer 1,RuleBasedPlayer,16,"['scizor', 'ironmoth', 'victreebel', 'basculinbluestriped', 'zacian', 'kleavor']","['torterra', 'wugtrio', 'hariyama', 'gholdengo', 'darkrai', 'zangoose']"
battle-gen9randombattle-320,RuleBasedPlayer 1,RuleBasedPlayer,92,"['dragapult', 'mandibuzz', 'ariados', 'tsareena', 'alcremierubycream', 'lycanroc']","['palossand', 'dipplin', 'umbreon', 'gougingfire', 'cetitan', 'sandaconda']"
battle-gen9randombattle-321,RuleBasedPlayer 1,RuleBasedPlayer,26,"['kilowattrel', 'clawitzer', 'gliscor', 'feraligatr', 'reshiram', 'darkrai']","['volcanion', 'noivern', 'cinccino', 'regieleki', 'coalossal', 'conkeldurr']"
battle-gen9randombattle-322,RuleBasedPlayer 1,RuleBasedPlayer,26,"['krookodile', 'fluttermane', 'toucannon', 'cinccino', 'grimmsnarl', 'arcanine']","['keldeoresolute', 'jirachi', 'ironjugulis', 'hippowdon', 'flamigo', 'forretress']"
battle-gen9randombattle-323,RuleBasedPlayer 1,RuleBasedPlayer,32,"['clodsire', 'orthworm', 'entei', 'beartic', 'oranguru', 'alomomola']","['bombirdier', 'gogoat', 'dialga', 'avalugg', 'shiftry', 'carbink']"
battle-gen9randombattle-324,RandomPlayer 1,RandomPlayer,38,"['girafarig', 'espathra', 'oricoriosensu', 'tornadus', 'taurospaldeablaze', 'miraidon']","['groudon', 'urshifurapidstrike', 'froslass', 'toxtricity', 'gliscor', 'bronzong']"
battle-gen9randombattle-325,RuleBasedPlayer 1,RuleBasedPlayer,21,"['regigigas', 'falinks', 'cramorant', 'zarudedada', 'mausholdfour', 'flareon']","['victreebel', 'heracross', 'pelipper', 'spectrier', 'kyurem', 'flapple']"
battle-gen9randombattle-326,RuleBasedPlayer 1,RuleBasedPlayer,25,"['passimian', 'glastrier', 'weezing', 'toxtricity', 'rampardos', 'lugia']","['skeledirge', 'crabominable', 'venusaur', 'ironbundle', 'magnezone', 'cinderace']"
battle-gen9randombattle-327,RuleBasedPlayer 1,RuleBasedPlayer,33,"['flamigo', 'scrafty', 'tornadus', 'pachirisu', 'solgaleo', 'tentacruel']","['gyarados', 'crawdaunt', 'lucario', 'kommoo', 'salazzle', 'registeel']"
battle-gen9randombattle-328,RuleBasedPlayer 1,RuleBasedPlayer,27,"['eiscuenoice', 'quagsire', 'quaquaval', 'urshifu', 'krookodile', 'glimmora']","['darkrai', 'sceptile', 'ironhands', 'phione', 'pyroar', 'dialga']"
battle-gen9randombattle-329,RandomPlayer 1,RandomPlayer,64,"['torterra', 'latias', 'empoleon', 'samurott', 'incineroar', 'mesprit']","['ambipom', 'coalossal', 'enamorustherian', 'flapple', 'avalugg', 'ludicolo']"
battle-gen9randombattle-330,RuleBasedPlayer 1,RuleBasedPlayer,31,"['dipplin', 'grumpig', 'fezandipiti', 'pachirisu', 'kingdra', 'ursaluna']","['deoxys', 'gallade', 'rotomwash', 'urshifurapidstrike', 'cyclizar', 'yanmega']"
battle-gen9randombattle-331,RuleBasedPlayer 1,RuleBasedPlayer,23,"['dugtrio', 'ursalunabloodmoon', 'ogerponcornerstone', 'tauros', 'cresselia', 'raichu']","['klefki', 'articunogalar', 'emboar', 'dugtrio', 'rabsca', 'enamorustherian']"
battle-gen9randombattle-332,RuleBasedPlayer 1,RuleBasedPlayer,30,"['florgesblue', 'quaquaval', 'coalossal', 'perrserker', 'venusaur', 'rabsca']","['luvdisc', 'gothitelle', 'typhlosion', 'ironbundle', 'zamazentacrowned', 'pachirisu']"
battle-gen9randombattle-333,RuleBasedPlayer 1,RuleBasedPlayer,42,"['golduck', 'virizion', 'tatsugiristretchy', 'smeargle', 'venomoth', 'reshiram']","['arcanine', 'mamoswine', 'weavile', 'jumpluff', 'zangoose', 'screamtail']"
battle-gen9randombattle-334,RuleBasedPlayer 1,RuleBasedPlayer,28,"['spectrier', 'lilligant', 'sawsbuckwinter', 'pelipper', 'tauros', 'tyranitar']","['swalot', 'duraludon', 'slaking', 'lilliganthisui', 'enamorustherian', 'bastiodon']"
battle-gen9randombattle-335,RuleBasedPlayer 1,RuleBasedPlayer,13,"['archaludon', 'delibird', 'giratinaorigin', 'taurospaldeablaze', 'zoroark', 'serperior']","['trevenant', 'cryogonal', 'volcanion', 'taurospaldeablaze', 'lunala', 'slowking']"
battle-gen9randombattle-336,RandomPlayer 1,RandomPlayer,54,"['pachirisu', 'regigigas', 'chansey', 'delphox', 'toxtricity', 'beartic']","['granbull', 'gougingfire', 'leafeon', 'perrserker', 'hippowdon', 'zangoose']"
battle-gen9randombattle-337,RuleBasedPlayer 1,RuleBasedPlayer,19,"['bombirdier', 'crawdaunt', 'gyarados', 'ironvaliant', 'typhlosionhisui', 'torterra']","['whimsicott', 'ragingbolt', 'skuntank', 'flygon', 'swalot', 'keldeoresolute']"
battle-gen9randombattle-338,RuleBasedPlayer 1,RuleBasedPlayer,33,"['swampert', 'miniororange', 'wigglytuff', 'phione', 'revavroom', 'dragalge']","['cyclizar', 'ironbundle', 'spidops', 'zapdosgalar', 'probopass', 'giratinaorigin']"
battle-gen9randombattle-339,RuleBasedPlayer 1,RuleBasedPlayer,50,"['wigglytuff', 'dunsparce', 'dragonite', 'entei', 'serperior', 'muk']","['whimsicott', 'enamorus', 'ampharos', 'brambleghast', 'cinccino', 'skarmory']"
battle-gen9randombattle-340,RuleBasedPlayer 1,RuleBasedPlayer,20,"['seviper', 'blaziken', 'swalot', 'haxorus', 'phione', 'toedscruel']","['basculinbluestriped', 'indeedeef', 'sunflora', 'kilowattrel', 'regieleki', 'emboar']"
battle-gen9randombattle-341,RuleBasedPlayer 1,RuleBasedPlayer,37,"['hitmonchan', 'hippowdon', 'gurdurr', 'darkrai', 'vileplume', 'deoxys']","['infernape', 'magmortar', 'oinkologne', 'meowsticf', 'shaymin', 'zebstrika']"
battle-gen9randombattle-342,RuleBasedPlayer 1,RuleBasedPlayer,28,"['slitherwing', 'ludicolo', 'cryogonal', 'passimian', 'krookodile', 'dunsparce']","['vespiquen', 'lucario', 'pachirisu', 'goodrahisui', 'lapras', 'mew']"
battle-gen9randombattle-343,RandomPlayer 1,RandomPlayer,37,"['lycanrocdusk', 'glimmora', 'eiscue', 'poliwrath', 'primarina', 'cyclizar']","['jirachi', 'arboliva', 'dodrio', 'zoroark', 'eternatus', 'ironboulder']"
battle-gen9randombattle-344,RuleBasedPlayer 1,RuleBasedPlayer,38,"['zapdosgalar', 'magmortar', 'malamar', 'carbink', 'serperior', 'glaceon']","['araquanid', 'haxorus', 'wyrdeer', 'lapras', 'entei', 'gliscor']"
battle-gen9randombattle-345,RuleBasedPlayer 1,RuleBasedPlayer,89,"['chienpao', 'giratina', 'revavroom', 'entei', 'oricoriopompom', 'barraskewda']","['groudon', 'jirachi', 'hitmonlee', 'hydrapple', 'slowbrogalar', 'porygon2']"
battle-gen9randombattle-346,RuleBasedPlayer 1,RuleBasedPlayer,43,"['toucannon', 'pelipper', 'torkoal', 'tsareena', 'oranguru', 'jirachi']","['grafaiai', 'basculegion', 'frosmoth', 'ampharos', 'taurospaldeacombat', 'gumshoos']"
battle-gen9randombattle-347,RuleBasedPlayer 1,RuleBasedPlayer,35,"['avalugghisui', 'latias', 'sceptile', 'rampardos', 'toedscruel', 'wugtrio']","['ironthorns', 'delphox', 'hydreigon', 'goodra', 'milotic', 'grumpig']"
battle-gen9randombattle-348,RuleBasedPlayer 1,RuleBasedPlayer,52,"['gougingfire', 'basculinbluestriped', 'shaymin', 'mandibuzz', 'dialgaorigin', 'annihilape']","['ironmoth', 'blissey', 'brutebonnet', 'alomomola', 'glastrier', 'thundurustherian']"
battle-gen9randombattle-349,RuleBasedPlayer 1,RuleBasedPlayer,27,"['hoopaunbound', 'sunflora', 'chiyu', 'pachirisu', 'illumise', 'groudon']","['glaceon', 'abomasnow', 'flamigo', 'ironthorns', 'oricorio', 'minun']"
battle-gen9randombattle-350,RuleBasedPlayer 1,RuleBasedPlayer,65,"['dunsparce', 'walkingwake', 'entei', 'bellibolt', 'amoonguss', 'poliwrath']","['salamence', 'regigigas', 'hitmontop', 'dewgong', 'rhyperior', 'staraptor']"
battle-gen9randombattle-351,RuleBasedPlayer 1,RuleBasedPlayer,23,"['munkidori', 'cacturne', 'venomoth', 'raichualola', 'falinks', 'rhyperior']","['grafaiai', 'vileplume', 'typhlosionhisui', 'donphan', 'jumpluff', 'infernape']"
battle-gen9randombattle-352,RuleBasedPlayer 1,RuleBasedPlayer,22,"['toucannon', 'sudowoodo', 'manaphy', 'glimmora', 'dodrio', 'dachsbun']","['dragalge', 'garganacl', 'volcarona', 'cramorant', 'qwilfishhisui', 'politoed']"
battle-gen9randombattle-353,RuleBasedPlayer 1,RuleBasedPlayer,32,"['kyogre', 'weavile', 'spidops', 'beartic', 'mimikyu', 'feraligatr']","['dewgong', 'terapagosterastal', 'delphox', 'brambleghast', 'muk', 'mamoswine']"
battle-gen9randombattle-354,RuleBasedPlayer 1,RuleBasedPlayer,28,"['excadrill', 'registeel', 'kommoo', 'toedscruel', 'tornadustherian', 'golduck']","['hitmontop', 'toxtricity', 'alcremierainbowswirl', 'porygon2', 'lapras', 'banette']"
battle-gen9randombattle-355,RuleBasedPlayer 1,RuleBasedPlayer,21,"['mismagius', 'azelf', 'ariados', 'okidogi', 'luxray', 'kingambit']","['flamigo', 'palkiaorigin', 'luxray', 'dragalge', 'zangoose', 'ninetales']"
battle-gen9randombattle-356,RandomPlayer 1,RandomPlayer,67,"['morpeko', 'dragonite', 'dragapult', 'sneasler', 'dewgong', 'eiscue']","['regigigas', 'copperajah', 'raichu', 'abomasnow', 'farigiraf', 'metagross']"
battle-gen9randombattle-357,RuleBasedPlayer 1,RuleBasedPlayer,18,"['rhydon', 'tropius', 'hippowdon', 'venomoth', 'zamazentacrowned', 'stonjourner']","['venusaur', 'plusle', 'roaringmoon', 'ogerponhearthflame', 'ninetalesalola', 'ironvaliant']"
battle-gen9randombattle-358,RuleBasedPlayer 1,RuleBasedPlayer,23,"['lurantis', 'pelipper', 'vigoroth', 'rhydon', 'arceuselectric', 'sinistcha']","['swalot', 'chansey', 'eiscuenoice', 'moltresgalar', 'drednaw', 'minun']"
battle-gen9randombattle-359,RuleBasedPlayer 1,RuleBasedPlayer,88,"['bronzong', 'probopass', 'donphan', 'groudon', 'haxorus', 'poliwrath']","['tyranitar', 'magnezone', 'cresselia', 'sylveon', 'clawitzer', 'camerupt']"
battle-gen9randombattle-360,RuleBasedPlayer 1,RuleBasedPlayer,32,"['quaquaval', 'avalugghisui', 'dipplin', 'gumshoos', 'deoxysspeed', 'gastrodon']","['ursaring', 'roaringmoon', 'vigoroth', 'whimsicott', 'gothitelle', 'calyrex']"
battle-gen9randombattle-361,RuleBasedPlayer 1,RuleBasedPlayer,24,"['volcanion', 'basculinbluestriped', 'wigglytuff', 'wochien', 'venomoth', 'ironhands']","['calyrexshadow', 'arcaninehisui', 'latios', 'lilligant', 'raikou', 'enamorustherian']"
battle-gen9randombattle-362,RandomPlayer 1,RandomPlayer,52,"['krookodile', 'zamazentacrowned', 'entei', 'drifblim', 'hippowdon', 'gholdengo']","['diancie', 'dragalge', 'toxtricity', 'donphan', 'chimecho', 'cramorant']"
battle-gen9randombattle-363,RuleBasedPlayer 1,RuleBasedPlayer,30,"['feraligatr', 'ironcrown', 'brambleghast', 'dewgong', 'gholdengo', 'mukalola']","['altaria', 'whimsicott', 'hypno', 'ragingbolt', 'slowbrogalar', 'lucario']"
battle-gen9randombattle-364,RuleBasedPlayer 1,RuleBasedPlayer,26,"['grumpig', 'slowking', 'drednaw', 'urshifu', 'houndoom', 'yanmega']","['cresselia', 'venusaur', 'taurospaldeaaqua', 'goodra', 'ariados', 'vikavolt']"
battle-gen9randombattle-365,RuleBasedPlayer 1,RuleBasedPlayer,44,"['pikachuoriginal', 'hitmontop', 'vivillonelegant', 'dragapult', 'tyranitar', 'primarina']","['mightyena', 'spidops', 'veluza', 'tinkaton', 'vigoroth', 'duraludon']"
battle-gen9randombattle-366,RuleBasedPlayer 1,RuleBasedPlayer,29,"['kyuremwhite', 'gastrodon', 'pyroar', 'deoxysattack', 'ursaluna', 'basculinbluestriped']","['mimikyubusted', 'indeedeef', 'beartic', 'slitherwing', 'moltresgalar', 'terrakion']"
battle-gen9randombattle-367,RuleBasedPlayer 1,RuleBasedPlayer,24,"['raichu', 'ragingbolt', 'azelf', 'leavanny', 'garchomp', 'tentacruel']","['corviknight', 'ironboulder', 'kyuremwhite', 'plusle', 'milotic', 'dondozo']"
battle-gen9randombattle-368,RuleBasedPlayer 1,RuleBasedPlayer,34,"['ursaring', 'gardevoir', 'empoleon', 'dondozo', 'incineroar', 'glimmora']","['arceusrock', 'florgeswhite', 'annihilape', 'spidops', 'deoxys', 'wochien']"
battle-gen9randombattle-369,RuleBasedPlayer 1,RuleBasedPlayer,32,"['exeggutoralola', 'palafinhero', 'conkeldurr', 'sinistcha', 'cyclizar', 'munkidori']","['umbreon', 'keldeoresolute', 'tropius', 'deoxys', 'sceptile', 'screamtail']"
battle-gen9randombattle-370,RuleBasedPlayer 1,RuleBasedPlayer,36,"['dewgong', 'amoonguss', 'golemalola', 'taurospaldeacombat', 'abomasnow', 'grimmsnarl']","['lurantis', 'miniorgreen', 'phione', 'seviper', 'corviknight', 'meowscarada']"
battle-gen9randombattle-371,RuleBasedPlayer 1,RuleBasedPlayer,28,"['beartic', 'toxtricity', 'blastoise', 'clawitzer', 'clefable', 'giratina']","['lokix', 'primarina', 'rampardos', 'mienshao', 'urshifurapidstrike', 'skeledirge']"
battle-gen9randombattle-372,RuleBasedPlayer 1,RuleBasedPlayer,36,"['noivern', 'eternatus', 'gothitelle', 'floatzel', 'hypno', 'inteleon']","['rillaboom', 'decidueyehisui', 'veluza', 'mimikyubusted', 'delibird', 'probopass']"
battle-gen9randombattle-373,RuleBasedPlayer 1,RuleBasedPlayer,21,"['torkoal', 'blastoise', 'shiftry', 'girafarig', 'kleavor', 'tyranitar']","['lokix', 'trevenant', 'quagsire', 'qwilfish', 'froslass', 'glimmora']"
battle-gen9randombattle-374,RuleBasedPlayer 1,RuleBasedPlayer,27,"['regieleki', 'rillaboom', 'swampert', 'kingdra', 'ariados', 'clodsire']","['electivire', 'screamtail', 'wochien', 'torkoal', 'drifblim', 'hydreigon']"
battle-gen9randombattle-375,RuleBasedPlayer 1,RuleBasedPlayer,28,"['gogoat', 'falinks', 'spidops', 'grumpig', 'fezandipiti', 'overqwil']","['swanna', 'terrakion', 'eelektross', 'screamtail', 'electivire', 'taurospaldeacombat']"
battle-gen9randombattle-376,RuleBasedPlayer 1,RuleBasedPlayer,25,"['hitmonlee', 'tentacruel', 'milotic', 'girafarig', 'skeledirge', 'weavile']","['basculegionf', 'taurospaldeacombat', 'mismagius', 'venomoth', 'staraptor', 'vespiquen']"
battle-gen9randombattle-377,RuleBasedPlayer 1,RuleBasedPlayer,32,"['slowkinggalar', 'primarina', 'rabsca', 'venusaur', 'magnezone', 'mightyena']","['toucannon', 'cacturne', 'passimian', 'thundurustherian', 'kingambit', 'pikachukalos']"
battle-gen9randombattle-378,RuleBasedPlayer 1,RuleBasedPlayer,31,"['houndoom', 'rampardos', 'ursaring', 'mudsdale', 'passimian', 'luxray']","['sandaconda', 'hatterene', 'annihilape', 'avalugghisui', 'venusaur', 'spiritomb']"
battle-gen9randombattle-379,RuleBasedPlayer 1,RuleBasedPlayer,33,"['slaking', 'plusle', 'wugtrio', 'mamoswine', 'azumarill', 'venomoth']","['zarude', 'koraidon', 'annihilape', 'oinkologne', 'palossand', 'kyogre']"
battle-gen9randombattle-380,RuleBasedPlayer 1,RuleBasedPlayer,59,"['regirock', 'volcarona', 'lilliganthisui', 'giratina', 'ariados', 'noctowl']","['glastrier', 'okidogi', 'sawsbuckautumn', 'mudsdale', 'grimmsnarl', 'blastoise']"
battle-gen9randombattle-381,RuleBasedPlayer 1,RuleBasedPlayer,35,"['flapple', 'gogoat', 'irontreads', 'perrserker', 'weezing', 'dondozo']","['sneasler', 'morpekohangry', 'hypno', 'eiscuenoice', 'ironmoth', 'leavanny']"
battle-gen9randombattle-382,RuleBasedPlayer 1,RuleBasedPlayer,19,"['hariyama', 'mienshao', 'ursaluna', 'munkidori', 'dunsparce', 'moltres']","['zapdosgalar', 'scizor', 'venomoth', 'regice', 'sneasler', 'garganacl']"
battle-gen9randombattle-383,RuleBasedPlayer 1,RuleBasedPlayer,25,"['banette', 'annihilape', 'carbink', 'cyclizar', 'regieleki', 'alomomola']","['hawlucha', 'orthworm', 'klefki', 'deoxysdefense', 'spiritomb', 'gumshoos']"
battle-gen9randombattle-384,RuleBasedPlayer 1,RuleBasedPlayer,20,"['dusknoir', 'corviknight', 'crabominable', 'quagsire', 'deoxys', 'vivillonriver']","['sudowoodo', 'chiyu', 'dugtrio', 'regieleki', 'swampert', 'arceusbug']"
battle-gen9randombattle-385,RuleBasedPlayer 1,RuleBasedPlayer,27,"['talonflame', 'delphox', 'scrafty', 'blastoise', 'gogoat', 'ironvaliant']","['enamorustherian', 'cetitan', 'whiscash', 'poliwrath', 'conkeldurr', 'leavanny']"
