Category,Feature ID,説明,Battle　経路,Type,Encoder,keys,Range,classes,,Default,MVP,備考
my_active,active_move1_pp_frac,場のポケモンのわざ１の残PP割合,"battle.active_pokemon.moves[""key""].current_pp",int,linear_scale,,"range:[0,max_pp] scale_to:[0,1]",,,0,FALSE,
my_active,active_move2_type,場のポケモンのわざ２のタイプ,battle.active_pokemon.moves['key'].type,PkemonType,onehot,,,"[unk,bug,dark,dragon,electric,fairy,fighting,fire,flying,ghost,grass,ground,ice,normal,poison,psychic,rock,steel,stellar,three_question_marks,water]",,"[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",FALSE,
my_active,active_move2_base_power,場のポケモンのわざ２の威力,"battle.active_pokemon.moves[""key""].base_power",int,linear_scale,,"range:[0,255] scale_to:[0,1]",,,0,FALSE,
my_active,active_move2_class,場のポケモンのわざ２のクラス,"battle.active_pokemon.moves[""key""].class",str,onehot,,,"[physical,special,status]",,"[0,0,0]",FALSE,
my_active,active_move2_pp_frac,場のポケモンのわざ２の残PP割合,"battle.active_pokemon.moves[""key""].current_pp",int,linear_scale,,"range:[0,max_pp] scale_to:[0,1]",,,0,FALSE,
my_active,active_move3_type,場のポケモンのわざ３のタイプ,battle.active_pokemon.moves['key'].type,PkemonType,onehot,,,"[unk,bug,dark,dragon,electric,fairy,fighting,fire,flying,ghost,grass,ground,ice,normal,poison,psychic,rock,steel,stellar,three_question_marks,water]",,"[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",FALSE,
my_active,active_move3_base_power,場のポケモンのわざ３の威力,"battle.active_pokemon.moves[""key""].base_power",int,linear_scale,,"range:[0,255] scale_to:[0,1]",,,0,FALSE,
my_active,active_move3_class,場のポケモンのわざ３のクラス,"battle.active_pokemon.moves[""key""].class",str,onehot,,,"[physical,special,status]",,"[0,0,0]",FALSE,
my_active,active_move3_pp_frac,場のポケモンのわざ３の残PP割合,"battle.active_pokemon.moves[""key""].current_pp",int,linear_scale,,"range:[0,max_pp] scale_to:[0,1]",,,0,FALSE,
my_active,active_move4_type,場のポケモンのわざ４のタイプ,battle.active_pokemon.moves['key'].type,PkemonType,onehot,,,"[unk,bug,dark,dragon,electric,fairy,fighting,fire,flying,ghost,grass,ground,ice,normal,poison,psychic,rock,steel,stellar,three_question_marks,water]",,"[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",FALSE,
my_active,active_move4_base_power,場のポケモンのわざ４の威力,"battle.active_pokemon.moves[""key""].base_power",int,linear_scale,,"range:[0,255] scale_to:[0,1]",,,0,FALSE,
my_active,active_move4_class,場のポケモンのわざ４のクラス,"battle.active_pokemon.moves[""key""].class",str,onehot,,,"[physical,special,status]",,"[0,0,0]",FALSE,
my_active,active_move4_pp_frac,場のポケモンのわざ４の残PP割合,"battle.active_pokemon.moves[""key""].current_pp",int,linear_scale,,"range:[0,max_pp] scale_to:[0,1]",,,0,FALSE,
my_active,active_is_revealed,場のポケモンの情報公開フラグ,battle.active_pokemon.revealed,bool,,,,,,FALSE,FALSE,
my_active,active_species,場のポケモンのポケモン名,,,,,,,,None,FALSE,
my_active,acribe_status,場のポケモンの状態異常,,one-hot,onehot,,,"[none,brn,fnt,frz,par,psn,slp,tox]",,"[1.0,0,0,0,0,0,0]",FALSE,
my_active,active_teratype,場のポケモンのテラスタイプ,,,,,,,,none,FALSE,
my_active,active_primary_type,場のポケモンのタイプ１,battle.active_pokemon.type_1,PokemonType(Enum),onehot,,,"[unk,bug,dark,dragon,electric,fairy,fighting,fire,flying,ghost,grass,ground,ice,normal,poison,psychic,rock,steel,stellar,three_question_marks,water]",,None,FALSE,
my_active,active_secondary_type,場のポケモンのタイプ２,battle.active_pokemon.type_2,PokemonType(Enum),onehot,,,"[unk,bug,dark,dragon,electric,fairy,fighting,fire,flying,ghost,grass,ground,ice,normal,poison,psychic,rock,steel,stellar,three_question_marks,water]",,None,FALSE,
opp_active,opp_active_lebel,相手の場のポケモンのレベル,,int,,,,,,50,FALSE,
opp_active,opp_active_boosts_akt,相手の場のポケモンのこうげきランク,battle.active_pokemon.boosts,int,linear_scale,,,,,0,FALSE,
opp_active,opp_active_boosts_def,相手の場のポケモンのぼうぎょランク,,int,linear_scale,,,,,0,FALSE,
opp_active,opp_active_boosts_spa,相手の場のポケモンのとくこうランク,,int,linear_scale,,,,,0,FALSE,
opp_active,opp_active_boosts_spd,相手の場のポケモンのとくぼうランク,,int,linear_scale,,,,,0,FALSE,
opp_active,opp_active_boosts_spe,相手の場のポケモンのすばやさランク,,int,linear_scale,,,,,0,FALSE,
opp_active,opp_active_boosts_acc,相手の場のポケモンの命中ランク,,int,linear_scale,,,,,0,FALSE,
opp_active,opp_active_boosts_eve,相手の場のポケモンの回避ランク,,int,linear_scale,,,,,0,FALSE,
opp_active,opp_active_current_hp,相手の場のポケモンの現在HP,,int,,,,,,,FALSE,
opp_active,opp_active_current_hp_frac,相手の場のポケモンの現在HP割合,battle.opponent_active_pokemon.current_hp_fraction,float,identity,,,,,1,TRUE,
opp_active,opp_active_fainted_flag,相手の場のポケモンがきぜつしたかどうか,,bool,,,,,,FALSE,FALSE,
opp_active,opp_active_is_terastallized,相手の場のポケモンがテラスタルしたかどうか,,bool,,,,,,FALSE,FALSE,
opp_active,opp_active_held_item,相手の場のポケモンのもちもの,,,,,,,,None,FALSE,
opp_active,opp_active_move1,相手の場のポケモンのわざ１,,,,,,,,None,FALSE,
opp_active,opp_active_move2,相手の場のポケモンのわざ２,,,,,,,,None,FALSE,
opp_active,opp_active_move3,相手の場のポケモンのわざ３,,,,,,,,None,FALSE,
opp_active,opp_active_move4,相手の場のポケモンのわざ４,,,,,,,,None,FALSE,
opp_active,opp_active_is_revealed,相手の場のポケモンの情報公開フラグ,,bool,,,,,,FALSE,FALSE,
opp_active,opp_active_species,相手の場のポケモンの名前,,,,,,,,None,FALSE,
opp_active,opp_acribe_status,相手の場のポケモンの状態異常,,one-hot,onehot,,,"[none,brn,fnt,frz,par,psn,slp,tox]",,"[1.0,0,0,0,0,0,0]",FALSE,
opp_active,opp_active_teratype,相手の場のポケモンのテラスタイプ,,,,,,,,none,FALSE,
opp_active,opp_active_primary_type,相手の場のポケモンのタイプ１,battle.opponent_actie_pokemon.type_1,PokemonType,onehot,,,"[unk,bug,dark,dragon,electric,fairy,fighting,fire,flying,ghost,grass,ground,ice,normal,poison,psychic,rock,steel,stellar,three_question_marks,water]",,none,FALSE,
opp_active,opp_active_secondary_type,相手の場のポケモンのタイプ２,battle.opponent_actie_pokemon.type_2,PokemonType,onehot,,,"[unk,bug,dark,dragon,electric,fairy,fighting,fire,flying,ghost,grass,ground,ice,normal,poison,psychic,rock,steel,stellar,three_question_marks,water]",,none,FALSE,
my_bench1,my_bench1_level,自分の控え１のポケモンのレベル,,int,,,,,,50,FALSE,
my_bench1,my_bench1_current_hp,自分の控え１のポケモンの現在HP,,int,,,,,,,FALSE,
my_bench1,my_bench1_current_hp_frac,自分の控え１のポケモンの現在HP割合,bench1.current_hp_frac,float,identity,,,,,1,TRUE,"bench_candidates = [p for p in battle.team.values() if not p.active]
bench1 = bench_candidates[0]"
my_bench1,my_bench1_fainted_flag,自分の控え１のポケモンがきぜつしたかどうか,,bool,,,,,,FALSE,FALSE,
my_bench1,my_bench1_is_terastallized,自分の控え１のポケモンがテラスタルしたかどうか,,bool,,,,,,FALSE,FALSE,
my_bench1,my_bench1_held_item,自分の控え１のポケモンのもちもの,,,,,,,,none,FALSE,
my_bench1,my_bench1_move1,自分の控え１のポケモンのわざ１,,,,,,,,none,FALSE,
my_bench1,my_bench1_move2,自分の控え１のポケモンのわざ２,,,,,,,,none,FALSE,
my_bench1,my_bench1_move3,自分の控え１のポケモンのわざ３,,,,,,,,none,FALSE,
my_bench1,my_bench1_move4,自分の控え１のポケモンのわざ４,,,,,,,,none,FALSE,
my_bench1,my_bench1_is_revealed,自分の控え１のポケモンの情報公開フラグ,,bool,,,,,,FALSE,FALSE,
my_bench1,my_bench1_species,自分の控え１のポケモンの名前,,,,,,,,none,FALSE,
my_bench1,my_bench1_status,自分の控え１のポケモンの状態異常,,one-hot,onehot,,,"[none,brn,fnt,frz,par,psn,slp,tox]",,"[1.0,0,0,0,0,0,0]",FALSE,
my_bench1,my_bench1_teratype,自分の控え１のポケモンのテラスタイプ,,,,,,,,none,FALSE,
my_bench1,my_bench1_primary_type,自分の控え１のポケモンのタイプ１,bench1.type_1,PokemonType,onehot,,,"[unk,bug,dark,dragon,electric,fairy,fighting,fire,flying,ghost,grass,ground,ice,normal,poison,psychic,rock,steel,stellar,three_question_marks,water]",,none,FALSE,type_1はEnumなのでそこから加工
my_bench1,my_bench1_secondary_type,自分の控え１のポケモンのタイプ２,bench1.type_2,PokemonType,onehot,,,"[unk,bug,dark,dragon,electric,fairy,fighting,fire,flying,ghost,grass,ground,ice,normal,poison,psychic,rock,steel,stellar,three_question_marks,water]",,none,FALSE,type_2はEnumなのでそこから加工
my_bench2,my_bench2_level,自分の控え２のポケモンのレベル,,int,,,,,,50,FALSE,
my_bench2,my_bench2_current_hp,自分の控え２のポケモンの現在HP,,int,,,,,,,FALSE,
my_bench2,my_bench2_current_hp_frac,自分の控え２のポケモンの現在HP割合,bench2.current_hp_frac,float,,,,,,1,TRUE,
my_bench2,my_bench2_fainted_flag,自分の控え２のポケモンがきぜつしたかどうか,,bool,,,,,,FALSE,FALSE,
my_bench2,my_bench2_is_terastallized,自分の控え２のポケモンがテラスタルしたかどうか,,bool,,,,,,FALSE,FALSE,
my_bench2,my_bench2_held_item,自分の控え２のポケモンのもちもの,,,,,,,,none,FALSE,
my_bench2,my_bench2_move1,自分の控え２のポケモンのわざ１,,,,,,,,none,FALSE,
my_bench2,my_bench2_move2,自分の控え２のポケモンのわざ２,,,,,,,,none,FALSE,
my_bench2,my_bench2_move3,自分の控え２のポケモンのわざ３,,,,,,,,none,FALSE,
my_bench2,my_bench2_move4,自分の控え２のポケモンのわざ４,,,,,,,,none,FALSE,
my_bench2,my_bench2_is_revealed,自分の控え２のポケモンの情報公開フラグ,,bool,,,,,,FALSE,FALSE,
my_bench2,my_bench2_species,自分の控え２のポケモンの名前,,,,,,,,none,FALSE,
my_bench2,my_bench2_status,自分の控え２のポケモンの状態異常,,one-hot,onehot,,,"[none,brn,fnt,frz,par,psn,slp,tox]",,"[1.0,0,0,0,0,0,0]",FALSE,
my_bench2,my_bench2_teratype,自分の控え２のポケモンのテラスタイプ,,,,,,,,none,FALSE,
my_bench2,my_bench2_primary_type,自分の控え２のポケモンのタイプ１,bench2.type_1,PokemonType,onehot,,,"[unk,bug,dark,dragon,electric,fairy,fighting,fire,flying,ghost,grass,ground,ice,normal,poison,psychic,rock,steel,stellar,three_question_marks,water]",,none,FALSE,
my_bench2,my_bench2_secondary_type,自分の控え２のポケモンのタイプ２,bench2.type_2,PokemonType,onehot,,,"[unk,bug,dark,dragon,electric,fairy,fighting,fire,flying,ghost,grass,ground,ice,normal,poison,psychic,rock,steel,stellar,three_question_marks,water]",,none,FALSE,
opp_bench1,opp_bench1_level,相手の控え１のポケモンのレベル,,int,,,,,,50,FALSE,
opp_bench1,opp_bench1_current_hp,相手の控え１のポケモンの現在HP,,int,,,,,,,FALSE,
opp_bench1,opp_bench1_current_hp_frac,相手の控え１のポケモンの現在HP割合,opp_bench1.current_hp_fraction,float,identity,,,,,1,TRUE,
opp_bench1,opp_bench1_fainted_flag,相手の控え１のポケモンがきぜつしたかどうか,,bool,,,,,,FALSE,FALSE,
opp_bench1,opp_bench1_is_terastallized,相手の控え１のポケモンがテラスタルしたかどうか,,bool,,,,,,FALSE,FALSE,
opp_bench1,opp_bench1_held_item,相手の控え１のポケモンのもちもの,,,,,,,,none,FALSE,
opp_bench1,opp_bench1_move1,相手の控え１のポケモンのわざ１,,,,,,,,none,FALSE,
opp_bench1,opp_bench1_move2,相手の控え１のポケモンのわざ２,,,,,,,,none,FALSE,
opp_bench1,opp_bench1_move3,相手の控え１のポケモンのわざ３,,,,,,,,none,FALSE,
opp_bench1,opp_bench1_move4,相手の控え１のポケモンのわざ４,,,,,,,,none,FALSE,
opp_bench1,opp_bench1_is_revealed,相手の控え１のポケモンの情報公開フラグ,,bool,,,,,,FALSE,FALSE,
opp_bench1,opp_bench1_species,相手の控え１のポケモンの名前,,,,,,,,none,FALSE,
opp_active,opp_bench1_status,相手の控え１のポケモンの状態異常,,one-hot,onehot,,,"[none,brn,fnt,frz,par,psn,slp,tox]",,"[1.0,0,0,0,0,0,0]",FALSE,
opp_bench1,opp_bench1_teratype,相手の控え１のポケモンのテラスタイプ,,,,,,,,none,FALSE,
opp_bench1,opp_bench1_primary_type,相手の控え１のポケモンのタイプ１,opp_bench1.type_1,PokemonType,onehot,,,"[unk,bug,dark,dragon,electric,fairy,fighting,fire,flying,ghost,grass,ground,ice,normal,poison,psychic,rock,steel,stellar,three_question_marks,water]",,none,FALSE,
opp_bench1,opp_bench1_secondary_type,相手の控え１のポケモンのタイプ２,opp_bench1.type_2,PokemonType,,,,"[unk,bug,dark,dragon,electric,fairy,fighting,fire,flying,ghost,grass,ground,ice,normal,poison,psychic,rock,steel,stellar,three_question_marks,water]",,none,FALSE,
opp_bench2,opp_bench2_level,相手の控え２のポケモンのレベル,,int,,,,,,50,FALSE,
opp_bench2,opp_bench2_current_hp,相手の控え２のポケモンの現在HP,,int,,,,,,,FALSE,
opp_bench2,opp_bench2_current_hp_frac,相手の控え２のポケモンの現在HP割合,opp_bench2.current_hp_fraction,float,identity,,,,,1,TRUE,
opp_bench2,opp_bench2_fainted_flag,相手の控え２のポケモンがきぜつしたかどうか,,bool,,,,,,FALSE,FALSE,
opp_bench2,opp_bench2_is_terastallized,相手の控え２のポケモンがテラスタルしたかどうか,,bool,,,,,,FALSE,FALSE,
opp_bench2,opp_bench2_held_item,相手の控え２のポケモンのもちもの,,,,,,,,none,FALSE,
opp_bench2,opp_bench2_move1,相手の控え２のポケモンのわざ１,,,,,,,,none,FALSE,
opp_bench2,opp_bench2_move2,相手の控え２のポケモンのわざ２,,,,,,,,none,FALSE,
opp_bench2,opp_bench2_move3,相手の控え２のポケモンのわざ３,,,,,,,,none,FALSE,
opp_bench2,opp_bench2_move4,相手の控え２のポケモンのわざ４,,,,,,,,none,FALSE,
opp_bench2,opp_bench2_is_revealed,相手の控え２のポケモンの情報公開フラグ,,bool,,,,,,FALSE,FALSE,
opp_bench2,opp_bench2_species,相手の控え２のポケモンの名前,,,,,,,,none,FALSE,
opp_bench2,opp_bench2_status,相手の控え２のポケモンの状態異常,,one-hot,onehot,,,"[none,brn,fnt,frz,par,psn,slp,tox]",,"[1,0,0,0,0,0,0,0]",FALSE,
opp_bench2,opp_bench2_teratype,相手の控え２のポケモンのテラスタイプ,,,,,,,,none,FALSE,
opp_bench2,opp_bench2_primary_type,相手の控え２のポケモンのタイプ１,opp_bench2.type_1,PokemonType,onehot,,,"[unk,bug,dark,dragon,electric,fairy,fighting,fire,flying,ghost,grass,ground,ice,normal,poison,psychic,rock,steel,stellar,three_question_marks,water]",,none,FALSE,
opp_bench2,opp_bench2_secondary_type,相手の控え２のポケモンのタイプ２,opp_bench2.type_2,PokemonType,onehot,,,"[unk,bug,dark,dragon,electric,fairy,fighting,fire,flying,ghost,grass,ground,ice,normal,poison,psychic,rock,steel,stellar,three_question_marks,water]",,none,FALSE,
field,weather,天候,AbstractBattle.weather[0],Weather,onehot,"UNKNOWN,DESOLATELAND,DELTASTREAM,HAIL,PRIMORDILSEA,RAINDANCE,SANDSTORM,SNOW,SUNNYDAY",,"[none,desolateland,deltastream,hail,primordilsea,raindance,sandstorm,snow,sunnyday]",,"[1,0,0,0,0,0,0,0,0]",TRUE,
field,weather_turn,天候の経過ターン数,AbstractBattle.weather[1],int,identity,,,,,0,FALSE,
field,terrain,フィールド,,,,,,,,none,FALSE,
my_field,my_field_reflect,自分のフィールドのリフレクター,,,,,,,,FALSE,FALSE,
my_field,my_field_lightscreen,自分のフィールドのひかりのかべ,,,,,,,,FALSE,FALSE,
my_field,my_field_auroraveil,自分のフィールドのオーロラベール,,,,,,,,FALSE,FALSE,
opp_field,opp_field_reflect,相手のフィールドのリフレクター,,,,,,,,FALSE,FALSE,
opp_field,opp_field_lightscreen,相手のフィールドのひかりのかべ,,,,,,,,FALSE,FALSE,
opp_field,opp_field_auroraveil,相手のフィールドのオーロラベール,,,,,,,,FALSE,FALSE,
meta,turn_count,経過ターン数,battle.turn,int16,identity,,,,,0,TRUE,
meta,my_remaining_pokemon,自分の戦闘可能なポケモン,my_alive_count,int,identity,,,,,3,TRUE,my_alive_count = sum(1 for p in battle.team.values() if not p.fainted)
meta,opp_remaining_pokemon,相手の戦闘可能なポケモン,opp_alive_count,int,identity,,,,,3,TRUE,opp_alive_count = sum(1 for p in battle.opponent_team.values() if not p.fainted)
,,,,,,,,,,,FALSE,
,,,,,,,,,,,FALSE,
,,,,,,,,,,,FALSE,
,,,,,,,,,,,FALSE,
,,,,,,,,,,,FALSE,
,,,,,,,,,,,FALSE,
,,,,,,,,,,,FALSE,
,,,,,,,,,,,FALSE,
,,,,,,,,,,,FALSE,
,,,,,,,,,,,FALSE,
,,,,,,,,,,,FALSE,
,,,,,,,,,,,FALSE,
,,,,,,,,,,,FALSE,
,,,,,,,,,,,FALSE,
,,,,,,,,,,,FALSE,
,,,,,,,,,,,FALSE,
,,,,,,,,,,,FALSE,
,,,,,,,,,,,FALSE,
,,,,,,,,,,,FALSE,
